Date,TRP [mg/l]
01/10/2009,0.0186
02/10/2009,0.0185
03/10/2009,0.0185
04/10/2009,0.0182
05/10/2009,0.0182
06/10/2009,0.0254
07/10/2009,0.0234
08/10/2009,0.0203
09/10/2009,0.0208
10/10/2009,0.0595
11/10/2009,0.0565
12/10/2009,0.0519
13/10/2009,0.0475
14/10/2009,0.0459
15/10/2009,0.0483
16/10/2009,0.0489
17/10/2009,0.0437
18/10/2009,0.0451
19/10/2009,0.0461
20/10/2009,0.2042
21/10/2009,0.1557
22/10/2009,0.2569
23/10/2009,0.1035
24/10/2009,0.1133
25/10/2009,0.071
26/10/2009,0.0582
27/10/2009,0.0632
28/10/2009,0.0658
29/10/2009,0.0548
30/10/2009,0.1404
31/10/2009,0.1189
01/11/2009,0.1371
02/11/2009,0.0729
03/11/2009,0.0594
04/11/2009,0.0503
05/11/2009,0.0404
06/11/2009,0.0446
07/11/2009,0.0398
08/11/2009,0.0372
09/11/2009,0.0357
10/11/2009,0.1055
11/11/2009,0.0514
12/11/2009,0.1054
13/11/2009,0.0771
14/11/2009,0.1081
15/11/2009,0.073
16/11/2009,0.0799
17/11/2009,0.0512
18/11/2009,0.0758
19/11/2009,0.1058
20/11/2009,0.0885
21/11/2009,0.0736
22/11/2009,0.0675
23/11/2009,0.052
24/11/2009,0.0608
25/11/2009,0.0615
26/11/2009,0.0432
27/11/2009,0.0376
28/11/2009,0.0623
29/11/2009,0.0713
30/11/2009,0.0535
01/12/2009,0.0476
02/12/2009,0.0575
03/12/2009,0.0424
04/12/2009,0.0373
05/12/2009,0.0659
06/12/2009,0.0635
07/12/2009,0.059
08/12/2009,0.0546
09/12/2009,0.0534
10/12/2009,0.0525
11/12/2009,0.0406
12/12/2009,0.0364
13/12/2009,0.0396
14/12/2009,0.0341
15/12/2009,0.0473
16/12/2009,0.0663
17/12/2009,0.0621
18/12/2009,0.0584
19/12/2009,0.0374
20/12/2009,0.0318
21/12/2009,0.028
22/12/2009,0.0271
23/12/2009,0.041
24/12/2009,0.0861
25/12/2009,0.054
26/12/2009,0.0542
27/12/2009,0.0454
28/12/2009,0.1395
29/12/2009,0.1095
30/12/2009,0.0572
31/12/2009,0.0463
01/01/2010,0.0296
02/01/2010,0.0247
03/01/2010,0.0277
04/01/2010,0.1853
05/01/2010,0.0677
06/01/2010,0.0268
07/01/2010,0.029
08/01/2010,0.025
09/01/2010,0.0273
10/01/2010,0.0328
11/01/2010,0.0697
12/01/2010,0.1331
13/01/2010,0.0552
14/01/2010,0.0408
15/01/2010,0.0531
16/01/2010,0.0951
17/01/2010,0.0352
18/01/2010,0.0272
19/01/2010,0.0288
20/01/2010,0.0431
21/01/2010,0.0621
22/01/2010,0.0371
23/01/2010,0.0307
24/01/2010,0.0262
25/01/2010,0.0246
26/01/2010,0.0308
27/01/2010,0.0301
28/01/2010,0.0319
29/01/2010,0.0346
30/01/2010,0.0294
31/01/2010,0.0257
01/02/2010,0.0271
02/02/2010,0.0378
03/02/2010,0.1213
04/02/2010,0.1683
05/02/2010,0.0911
06/02/2010,0.0553
07/02/2010,0.0395
08/02/2010,0.0352
09/02/2010,0.0334
10/02/2010,0.0316
11/02/2010,0.0332
12/02/2010,0.0309
13/02/2010,0.0333
14/02/2010,0.0302
15/02/2010,0.0309
16/02/2010,0.0316
17/02/2010,0.0314
18/02/2010,0.0346
19/02/2010,0.0364
20/02/2010,0.0324
21/02/2010,0.0317
22/02/2010,0.0314
23/02/2010,0.0429
24/02/2010,0.2176
25/02/2010,0.0867
26/02/2010,0.0442
27/02/2010,0.025
28/02/2010,0.0235
01/03/2010,0.0218
02/03/2010,0.1212
03/03/2010,0.025
04/03/2010,0.0235
05/03/2010,0.0216
06/03/2010,0.0228
07/03/2010,0.024
08/03/2010,0.0217
09/03/2010,0.0197
10/03/2010,0.0192
11/03/2010,0.0189
12/03/2010,0.0211
13/03/2010,0.0227
14/03/2010,0.0232
15/03/2010,0.0218
16/03/2010,0.0223
17/03/2010,0.0212
18/03/2010,0.0273
19/03/2010,0.0314
20/03/2010,0.1185
21/03/2010,0.0744
22/03/2010,0.0695
23/03/2010,0.0526
24/03/2010,0.1114
25/03/2010,0.1105
26/03/2010,0.1138
27/03/2010,0.0592
28/03/2010,0.0443
29/03/2010,0.0768
30/03/2010,0.0716
31/03/2010,0.0551
01/04/2010,0.0404
02/04/2010,0.2404
03/04/2010,0.0367
04/04/2010,0.0416
05/04/2010,0.0362
06/04/2010,0.0774
07/04/2010,0.0496
08/04/2010,0.0345
09/04/2010,0.0291
10/04/2010,0.0329
11/04/2010,0.0279
12/04/2010,0.0256
13/04/2010,0.0254
14/04/2010,0.0245
15/04/2010,0.0224
16/04/2010,0.0222
17/04/2010,0.0214
18/04/2010,0.0209
19/04/2010,0.0202
20/04/2010,0.0205
21/04/2010,0.0191
22/04/2010,0.0749
23/04/2010,0.0241
24/04/2010,0.0211
25/04/2010,0.0465
26/04/2010,0.0461
27/04/2010,0.0317
28/04/2010,0.0262
29/04/2010,0.0245
30/04/2010,0.0231
01/05/2010,0.0231
02/05/2010,0.0235
03/05/2010,0.0209
04/05/2010,0.0484
05/05/2010,0.0428
06/05/2010,0.0345
07/05/2010,0.0354
