"","meanlog","sdlog","meanlog10","sdlog10"
"October",12.8940448735642,0.406803947556491,5.59981253800184,0.176672709640244
"November",13.7047162526194,0.219673369819047,5.95188264456241,0.0954029323335046
"December",13.8322711750888,0.208610377124642,6.00727904353046,0.0905983356529883
"January",13.8061018006427,0.176901820039888,5.99591382861369,0.0768274842819656
"February",13.5193419998522,0.174730893817283,5.87137562949867,0.0758846630028689
"March",12.9350103748101,0.174699927442571,5.61760362914134,0.075871214477207
"April",12.5589530259582,0.201393682961279,5.4542839976558,0.0874641652002563
"May",12.1858645809274,0.221232049686802,5.29225374471706,0.0960798583991241
"June",11.8681675650621,0.286976706416139,5.1542796838096,0.124632400031299
"July",11.3396805023833,0.312914163578091,4.92476066873094,0.135896894551336
"August",11.8700128199788,0.459917891473718,5.15508106783763,0.199739802395614
"September",11.4898090251347,0.365800804063829,4.98996065773819,0.158865270680694
