"","October","November","December","January","February","March","April","May","June","July","August","September"
"1",324392.570809318,306161.992617143,564924.445481463,1228758.4087278,263103.663062876,602230.910475258,243261.94986854,647583.636796042,1087654.27715873,233594.333950886,303528.144628485,350088.155951976
"2",1046479.72360098,742395.765518475,1225214.45192668,666360.853214757,744396.929756032,1038086.7984145,1070514.71778688,705190.615586991,757958.78306248,962959.538037246,518406.58803619,892359.153391898
"3",1066056.94225949,1404741.88516871,1151896.28029699,1048600.32858688,808809.95872513,1237332.86959372,1327192.49540236,1057704.99087889,842512.141718336,1215861.02453789,972547.093638718,1281518.36930706
"4",1209258.03628308,1048815.06680609,1073709.64005373,1055894.59978876,887194.700960142,1176952.95109134,973940.361394702,817716.592336306,1368542.37732229,887833.928129166,1216515.57953815,1097349.21941
"5",611987.273885097,858888.506148042,853867.81552968,901310.538353769,766930.390477256,818878.896989674,934194.488066089,906666.523148522,1190950.60272544,855935.159786323,829201.669533557,645503.604956073
"6",330231.736521878,439909.294877046,439918.277983676,451889.548194547,361913.816494546,407267.234260127,340247.5475277,440025.974400021,412104.253337943,394664.227689714,412444.415065365,424609.068909645
"7",355842.165593133,258938.041544643,301166.906412315,323827.47776263,177293.38736153,217621.224000235,282598.264540412,276956.865900275,261660.418554311,199321.260831339,334779.050232815,325068.601478621
"8",245438.11127991,199943.522361157,210458.197500767,227353.56046621,202577.168594564,212843.618424898,251969.81723645,129004.685650476,211049.725866659,230842.350377684,243902.765738342,94924.9476161256
"9",202718.87134443,201952.596914431,133724.876248725,174261.375075471,174211.794397144,98921.2988646014,140873.582433795,136851.484083728,179043.672185667,64587.5608629925,83196.1628037407,155399.15179547
"10",73774.0631965338,93829.7528191263,88753.3628569861,70789.4130260058,89941.997834665,133742.102410309,88398.2672033631,74535.7249634198,74429.3657988177,50220.6171397598,116099.136878232,75042.2411177443
"11",78769.0913880397,157401.072353287,158406.477551057,122218.651543472,88049.7766742111,141268.830789494,219837.357460432,146271.099028363,137304.37843042,197014.356221292,117233.832646156,99565.0262757224
"12",69255.9825685324,153050.528428433,75391.805072239,153739.444587699,86932.815535007,86418.1464862413,67546.8993542706,59988.5014826581,101093.289957914,89522.6551418013,81943.2682379046,85214.9046782917
"13",626508.634288755,343020.287958338,803777.271936217,324694.381336797,398317.340904095,263434.539450194,366478.275704696,386042.6245295,360140.956543641,408011.573516232,447831.079386233,336380.967504227
"14",758718.790761702,879793.989838024,577752.498544804,978089.078252638,819757.358653779,663423.189942985,1158243.17748808,931724.628051181,973492.220454371,594941.615898026,782669.738569693,1101473.43617651
"15",1217585.294513,1176534.89491183,1230705.56322108,848868.085805926,733546.007626563,1271076.83236583,1206822.57362544,1024884.5837804,1331944.78902324,844309.100497135,893024.002547876,1084117.92466014
"16",715731.990198854,960205.474918384,793120.987102352,1230959.27241503,1035319.30790425,725686.848270066,1158002.79824363,961781.680999334,757199.2543472,965590.409973547,1186729.12667946,1113458.78596547
"17",615356.629104821,837724.927676841,748354.414551549,527552.012773774,759622.526625679,1037408.90585032,846373.747779366,626339.440018543,781099.859230425,864860.011173202,713067.312042907,551669.860349808
"18",540429.022605337,373287.537072924,374010.462833654,435832.70708263,413919.907885101,478494.361959175,362440.242795458,331631.100326993,462443.037807111,470423.896526776,425754.413028272,448786.901190495
"19",446230.29823216,267514.805381723,338584.152401966,183446.478955582,322724.08721785,454697.629471832,255829.844987816,206096.162106228,201274.452222215,262986.6499682,368731.677468765,283960.087422279
"20",202604.179983411,181913.54307442,167821.885593876,210840.727336099,244344.47179039,251468.924863045,213132.264398837,307822.110144966,182211.340301726,255993.406715013,228606.214709252,168142.234198855
"21",207293.943383467,146692.981672006,181162.268165003,103948.04972376,168467.87107178,145455.866036439,171250.670217836,100883.929510973,156316.291965993,91909.660566254,76892.4509999281,139459.227817041
"22",93924.4045914202,127340.305724666,76337.3332444556,85820.4730844874,71115.6569924439,72845.9632438302,82364.0547057363,72908.3010798013,89637.0468999019,97513.3870139442,116873.688531304,80179.61948998
"23",108191.366984769,93032.8144161882,206512.457701199,220183.599300788,142443.475716236,134411.100547551,88674.0201659246,188368.718334587,101292.871618758,73473.034794853,128172.902537591,110904.015029833
"24",210168.752175962,95318.2050911979,120748.154665957,115397.602709976,77139.3539068663,89307.517845531,177345.251007716,140961.401279643,121392.537957907,55892.0376503623,177419.223518105,201125.842364236
"25",452234.568723211,439381.677106345,189772.447493277,254911.856983461,435182.82199757,607988.732181231,736249.443784885,387080.392858109,511611.218423543,434960.578535497,530834.51432815,248780.92983894
"26",1129270.76629193,1132093.61694529,1113842.76799074,1260809.26057831,1093622.53743351,1118161.83484026,1500495.15506595,672768.768595194,717824.291555364,1128742.94372097,876938.82594645,816126.871635848
"27",1199570.33834654,1094063.95916263,1195210.79022312,954123.467784864,1080039.55056333,948001.131879201,912280.149141856,874259.823333097,713304.036104756,672542.248613406,1554583.31572147,1084134.59195718
"28",1015199.06343964,1045037.01405231,1043334.08966899,770721.573324056,994682.210760531,836505.767459894,1067825.826348,920683.448817803,658636.938828292,762453.310942369,866252.873582981,746548.659649811
"29",975034.471861171,738469.897785243,868929.55420917,606575.015825749,658119.454365453,852435.849748036,569107.63075589,609354.255385405,987731.447740134,694074.610359965,738466.266054526,870956.091887809
"30",445946.739545464,375821.167269689,389036.738179225,557541.062671024,368524.231723086,364848.76922429,382095.748672179,569079.10963037,626277.507697545,398477.302432536,456468.320450741,341729.624418162
"31",416031.608137844,246058.972977754,349155.810067379,270975.586633034,195199.468851193,288273.704028724,244858.575328424,341395.558472245,247280.993702556,266249.73259693,321633.045627526,421744.239489629
"32",270642.016164718,212365.536150941,209402.869214295,221745.403376003,252392.839826876,154578.745526825,125272.812112465,191153.301813554,168731.30325633,135883.728667489,200647.083649234,146856.528160415
"33",133323.732580768,203505.300383025,169852.780093251,138350.809776348,183069.290824676,167154.601543513,94102.5241190965,143562.76446493,133535.931174703,130126.200669213,143861.942896226,167546.402398659
"34",96862.1494406798,65293.8674742279,112947.096582528,51809.5350546044,90086.5664331781,106704.236220655,120845.008600313,108267.870388793,104339.216897599,84379.9588821098,105296.982354119,92409.7541552269
"35",137107.879866779,205074.885351702,136799.895308228,142476.893479918,128122.945994367,77729.9981090257,187028.880637452,108662.948944609,82718.0678526713,217888.06388578,233885.834072164,121426.638456638
"36",81140.6366964914,108289.268086443,112113.685987082,89832.5747505099,119579.900526726,136126.032240634,76045.5241110183,78164.0488318585,72015.3114430408,268561.882794628,62183.6156523887,133064.188265723
"37",507263.131872982,201603.874971801,299099.510635468,280333.989778632,219992.059060372,228865.776707874,274443.065533316,140157.191214321,190173.909829436,604385.50125571,194327.812179128,328440.5917488
"38",751866.488815922,837223.635568896,1025915.18719677,1224264.57454909,944178.689888592,1027732.95166983,565107.434284502,1022958.69127076,1138368.01076529,814871.877824268,1091921.11982356,849786.697229783
