"","meanlog","sdlog","meanlog10","sdlog10"
"October",-2.45972047584052,0.104366326448333,-1.06824302968198,0.0453257196730244
"November",-2.4828697957931,0.0989865995167711,-1.0782966515972,0.0429893339525008
"December",-2.71844178807935,0.0778865120312084,-1.18060426793807,0.033825682389845
"January",-2.94217807707237,0.0711769687061746,-1.27777170364925,0.0309117647476921
"February",-2.9754706176641,0.0903656033922056,-1.29223047031678,0.0392452829070927
"March",-2.99485658589872,0.0900871865656551,-1.30064968934742,0.0391243680156528
"April",-2.84747794254747,0.135763796766409,-1.23664395778959,0.0589614677778859
"May",-2.91124382961045,0.079787788109933,-1.26433713067471,0.0346513960994098
"June",-2.45520833158076,0.0865942838794328,-1.06628343032842,0.0376074196532014
"July",-2.31754010933409,0.0996172389172655,-1.00649488107325,0.0432632171642063
"August",-2.23348045113347,0.10087842245026,-0.969988235366051,0.0438109422132532
"September",-2.49919778834865,0.0973372277831056,-1.08538780866463,0.0422730209099627
