"","meanlog","sdlog","meanlog10","sdlog10"
"January",6.27685688246291,0.2576741702118,2.72600430775009,0.111906470251984
"February",6.08410900520864,0.235568444999866,2.64229496825999,0.102306075773971
"March",5.65960811083291,0.240769795980467,2.45793657226962,0.104564993803288
"April",5.52101717942615,0.184124481940353,2.39774729551783,0.0799642464899905
"May",5.30665411304442,0.158644516631731,2.30465059866438,0.0688984381573694
"June",5.4975458742765,0.147743660645518,2.38755383720827,0.064164256554535
"July",5.20000193329646,0.139291962264005,2.25833214551689,0.0604937305847332
"August",5.22841297018918,0.13804719095472,2.27067090206455,0.0599531332738796
"September",5.17481418832371,0.122822986711907,2.24739324686364,0.0533413453798577
"October",5.68831055546499,0.239557270176552,2.47040188559047,0.104038400537483
"November",6.17885330650189,0.290299957296228,2.68344189550343,0.126075669550502
"December",6.26879511504058,0.296694038829585,2.72250312664419,0.128852583877278
