January,February,March,April,May,June,July,August,September,October,November,December
5.85E-02,7.46E-03,0.134778,2.47E-05,0.0714153,1.40E-02,0.0287291,3.91E-03,0.111479,9.46E-06,0.11329,0.0112412
6.10E-02,0.0308021,5.01E-02,4.90E-02,0.0628374,0.000210953,0.114273,2.20E-01,0.115006,0.207794,0.000157409,1.90E-04
0.0360786,8.83E-06,2.49E-05,0.139793,1.99E-06,0.000130145,5.24E-02,0.0681354,0.0145003,0.0131191,0.0969269,0.108008
1.10E-01,0.251725,0.026654,4.97E-05,1.75E-05,7.13E-05,2.20E-05,0.00011194,0.15259,0.0150112,8.33E-02,1.41E-02
0.0106309,0.112876,0.892993,2.53E-05,0.0442828,2.11E-02,1.30E-05,0.132555,0.0977481,2.73E-02,0.0705272,0.0604539
2.97E-02,0.0342482,1.22E-01,1.89E-05,0.0735532,0.788363,1.67E-01,1.03E-01,1.88E-01,1.39E-01,0.0532638,0.12338
0.00263764,0.0278876,2.00E-01,1.27E-05,0.00469896,1.81E-05,0.0197778,0.0600064,4.65E-02,0.024617,7.21E-02,0.0318405
0.0949715,1.58E-06,3.33E-02,0.0950445,2.14E-01,1.64E-02,5.43E-02,0.0504258,1.87E-05,5.85E-02,0.0840497,2.53E-01
1.03E-05,2.73E-05,7.83E-03,0.00689317,6.00E-05,4.39E-02,0.040756,4.03E-02,1.24E-04,1.57E-05,0.0163176,1.10E-01
0.0469494,1.91E-01,0.0378523,0.679278,0.245899,1.52E-01,1.27E-01,9.76E-02,6.45E-02,1.09E-01,6.73E-06,0.0199114
3.99E-01,0.160888,1.28E-01,0.226705,0.0946562,5.00E-02,9.42E-01,0.0112949,0.0449764,7.31E-06,0.106809,0.0245616
1.12E-02,0.137546,0.242426,4.87E-06,5.43E-05,0.0678141,6.86E-02,5.97E-04,5.78E-06,1.43E-01,0.119187,6.39E-02
1.42E-01,0.130886,5.11E-02,8.95E-02,0.0129471,0.0459012,5.53E-01,0.0708115,1.58E-02,2.51E-06,1.56E-02,3.69E-01
2.35E-01,1.04E-01,2.58E-02,1.28E-05,0.184628,2.04E-05,0.230825,0.0336224,0.197323,0.0337742,5.51E-05,1.30E-01
8.90E-02,0.128198,0.178662,3.86E-02,1.01E-04,0.095782,6.51E-06,5.15E-02,1.03E+00,0.0948423,0.000609614,0.606864
1.16E-01,0.191399,0.0466555,1.36E-01,1.65E-01,7.97E-05,1.46E-02,0.043277,0.00566788,2.43E-05,3.72E-05,0.00127889
2.08E-05,5.73E-06,4.52E-05,0.0732487,4.15E-06,8.55E-05,0.0506079,1.92E-01,0.187854,1.80E-01,0.0747873,3.93E-01
2.51E-02,0.0527722,0.081134,5.58E-06,0.000273034,0.061909,0.251421,1.17E-05,3.32E-02,6.04E-05,1.93E-01,0.0465964
1.44E-01,0.234715,0.93187,1.15E-01,0.967388,1.64E-01,0.0565348,1.13E-01,0.101516,2.40E-01,0.0770584,3.02E-07
8.61E-02,0.00146229,0.143557,3.50E-05,7.98E-06,3.29E-02,0.366486,3.77E-02,1.56E-05,1.40E-05,0.172851,0.0726154
4.73E-02,4.27E-05,7.23E-07,3.79E-02,2.49E-05,1.23E-01,6.94E-03,5.07E-02,0.00309147,1.85E-02,4.36E-05,0.0413205
3.58E-05,0.0890519,1.27E-01,0.0933018,0.137881,1.10E-02,0.175853,1.46E-01,2.80E-06,1.39E-01,0.12148,5.18E-05
8.66E-02,6.12E-05,5.10E-02,1.50E-02,9.91E-02,8.00E-02,5.49E-03,0.137994,0.0392753,1.34E-01,0.0824657,0.0706939
7.35E-02,0.114851,0.37523,0.13027,0.138915,3.11E-05,9.65E-02,1.12E-01,1.33E-01,0.278934,0.0966935,3.99E-03
0.0464025,0.0873429,0.00160057,1.14E-02,0.0676029,8.08E-02,0.14303,1.39E-01,1.34E-01,7.35E-02,0.146686,0.092589
1.18E-01,2.74E-05,0.0861685,0.127398,9.52E-02,0.330612,1.70E-05,0.121184,1.37E-01,6.69E-02,0.0328311,0.780414
1.29E-01,5.79E-04,0.112745,0.0139808,0.118616,0.118064,1.67E-06,0.0862483,1.17E-01,0.0931269,0.008933,0.0353173
0.123878,0.000190212,0.109907,9.90E-02,0.208981,0.0539898,0.0410285,2.45E-01,0.046508,3.34E-06,6.83E-05,0.0667614
2.00E-02,0.0396773,1.17E-05,1.03E-04,2.38E-01,1.03E-01,8.22E-05,0.0983745,7.32E-02,8.45E-06,0.0419063,1.89E-04
9.73E-02,4.24E-02,0.067954,6.11E-02,0.0295145,2.71E-05,0.208839,0.208458,0.0349014,7.17E-05,0.0376662,0.086385
0.0145654,0.242422,6.50E-05,0.036711,2.76E-05,4.98E-02,0.0754236,1.97E-02,1.74E-01,8.62E-05,0.00314476,0.0525786
5.28E-02,3.94E-05,5.29E-05,0.050202,1.10E-01,0.105511,2.73E-02,5.04E-06,6.91E-02,1.34E-01,1.94E-05,0.000131558
0.0327806,0.111648,0.147008,0.0855775,0.0909534,0.000129339,0.00727972,0.950633,8.30E-06,1.23E-05,4.48E-06,0.0710653
0.0399554,0.165366,0.1982,1.03E-05,0.0482551,8.06E-06,2.35E-01,0.120444,1.08E-01,0.0260016,0.229801,0.0427478
1.22E-01,0.140356,0.109151,0.101284,0.214905,0.114227,1.19E-01,0.117852,0.108852,6.75E-02,1.37E-04,0.0570642
2.01E-04,8.54E-02,0.11189,4.22E-02,2.02E-05,0.137695,7.09E-01,9.74E-06,0.0616356,1.31E-05,0.0875725,0.244264
1.26E-04,9.82E-02,0.020632,0.0396329,0.0935068,4.99E-02,0.0438571,0.0220382,7.98E-06,1.72E-05,1.06E-01,4.78E-05
2.66E-05,7.81E-06,1.79E-02,0.239832,0.0197315,1.14E-05,1.42E-05,0.110924,9.74E-02,0.0960381,5.85E-05,4.57E-05
0.000195561,0.220376,4.51E-05,0.0242946,2.39E-01,0.0973127,0.0107576,0.0731395,0.114597,0.0110944,0.000802298,3.51E-02
1.53E-01,0.130162,0.0362417,2.04E-01,2.05E-01,0.0174588,1.53E-05,2.15E-02,1.75E-05,0.0163217,0.116542,1.60E-05
8.89E-02,0.000138945,0.106287,0.128922,0.137623,8.93E-02,0.0385966,0.104759,2.92E-05,0.495129,0.000448757,0.000780241
0.199096,0.112964,0.530632,2.93E-02,0.0457482,0.059115,4.65E-06,0.393408,6.41E-05,0.0654801,0.087934,0.0728458
7.99E-02,8.91E-02,1.54E-05,0.00791788,0.116108,1.41E-01,2.22E-01,0.0601252,1.40E-01,8.52E-02,0.0401517,0.157685
1.19E-03,0.0587026,0.198007,0.0141415,3.02E-05,0.0295355,2.61E-05,0.0239616,5.94E-03,0.118509,0.00870707,0.241637
1.01E-01,7.43E-05,0.0311939,9.53E-02,2.37E-01,1.77E-05,2.39E-01,1.44E-01,1.48E-05,0.159226,0.035969,6.64E-05
2.60E-02,0.182595,1.20E-01,0.0690507,1.06E-06,1.09E-05,1.39E-05,2.14E-02,5.63E-06,5.31E-01,1.76E-05,0.191077
8.35E-02,0.0804795,6.60E-02,0.0441505,1.25E-01,9.65E-02,0.26619,1.68E-02,0.146905,0.0694086,2.18E-02,1.24E-04
0.0316191,0.119616,0.0557485,1.58E-01,2.03E-05,0.0662825,1.22E-01,4.55E-03,0.0357243,0.129714,2.55E-05,0.0405008
8.23E-02,0.0421677,1.47E-05,0.000338219,0.000121383,6.66E-06,0.139515,0.235533,0.0478265,4.10E-05,4.71E-04,0.102686
0.0398854,0.0940196,4.06E-02,5.82E-02,1.53E-02,0.108056,1.53E-02,9.89E-02,1.21E-01,8.31E-05,1.36E-02,0.055226
8.17E-02,0.0102657,7.83E-06,1.07E-05,0.502695,0.00635499,0.106422,2.13E-05,0.0748271,3.22E-02,1.74E-05,1.35E-01
0.170859,6.33E-01,0.104007,5.32E-06,2.17E-05,1.53E-04,0.155988,9.79E-02,1.26E-01,5.86E-02,1.07E-01,2.74E-02
3.68E-04,0.000101974,2.07E-02,9.84E-02,0.0462032,3.89E-02,0.107181,7.48E-05,3.04E-03,4.56E-05,1.13E-05,4.01E-02
9.80E-02,0.0135886,0.222508,1.81E-05,1.28E-05,4.08E-01,0.134341,0.0885925,1.60E-06,2.25E-05,0.103762,1.90E-01
5.90E-02,2.46E-01,0.142062,0.129159,8.65E-02,1.24E-01,1.73E-01,0.121268,0.549626,0.137942,0.0134855,1.72E-05
7.87E-01,0.109278,0.0244081,1.23E-01,0.145826,0.0958256,1.52E-02,0.0157187,0.100018,0.0428847,0.0627508,0.120098
0.964375,0.0936147,0.0252509,0.0802167,0.064515,4.42E-06,1.17E-01,3.98E-05,0.246612,8.80E-03,2.02E-01,8.94E-05
1.44E-05,0.12296,3.75E-06,0.171737,0.0514948,4.01E-02,0.00718773,0.0348773,0.124973,1.12E-01,8.40E-02,4.16E-02
0.139952,2.63E-02,0.0937168,0.178567,2.56E-05,0.0989642,0.175858,0.00269431,2.87E-05,1.08E-05,4.05E-05,4.46E-05
9.55E-06,7.29E-02,0.0434262,0.128042,1.31E-01,1.10E-01,6.43E-02,7.38E-06,0.106494,0.121766,2.68E-07,2.40E-01
7.77E-05,1.95E-02,0.108332,0.0502538,4.47E-02,0.094161,2.16E-05,0.0445133,3.89E-02,0.0693619,2.16E-05,0.133942
1.19E-01,1.41E-05,0.482512,4.55E-02,1.18E-01,0.0055837,6.70E-02,9.29E-02,0.0128699,0.0706239,0.0412346,0.142693
6.48E-05,7.98E-05,0.116348,9.90E-06,6.02E-02,0.0385708,0.116539,4.31E-02,4.94E-01,1.24E-01,0.542905,3.80E-05
2.48E-02,2.98E-02,0.0918679,0.111705,0.0133111,1.73E-01,5.83E-02,7.75E-06,0.0261695,1.65E-05,0.122977,9.53E-02
4.88E-05,9.50E-02,0.0814614,8.11E-02,3.92E-03,0.141479,2.92E-05,6.53E-05,0.000465988,4.93E-02,7.92E-01,0.160429
3.49E-02,0.0845129,4.88E-05,0.050794,9.98E-02,2.00E-02,9.57E-02,0.0912603,3.96E-01,0.165954,8.74E-02,0.10904
1.15E-05,0.129002,4.47E-05,0.0839503,0.116717,0.0707917,1.42E-01,3.27E-02,0.100812,7.66E-03,0.105154,0.0349475
0.111503,0.0249588,3.81E-02,1.45E-05,0.239664,1.45E-05,0.23906,2.95E-02,2.52E-02,8.12E-02,2.77E-06,0.122361
2.97E-03,0.00533909,0.163849,1.98E-05,3.23E-05,0.218644,0.0620627,0.119896,0.103627,0.146965,7.83E-05,7.97E-02
8.40E-06,8.96E-06,0.142294,0.135686,1.21E-05,0.00129902,0.0253696,7.90E-06,4.66E-06,0.119245,0.110819,0.000463124
1.04E-01,7.22E-02,0.0355701,0.0851277,3.20E-02,0.0645569,0.219687,8.21E-06,1.44E-01,0.0197555,0.78587,0.0235173
0.000118528,0.0482528,1.35E-01,0.0156922,0.532888,0.0855864,9.26E-02,0.0784973,0.122284,0.0305872,1.52E-04,1.36E-02
3.25E-05,1.18E-01,0.107567,4.96E-02,1.01E-01,3.81E-05,1.43E-01,4.44E-02,2.05E-01,5.52E-03,0.134147,3.52E-02
3.09E-02,0.109472,1.80E-02,7.11E-02,0.139935,5.64E-02,0.0112951,1.25E-02,1.06E-01,1.01E-05,1.18E-01,0.0237866
0.457973,1.21E-03,5.65E-02,4.13E-02,0.0974879,6.47E-06,0.123992,0.0229357,0.0932203,3.51E-02,1.29E-01,0.0926602
2.37E-02,1.04E-05,0.0142923,0.0517968,4.17E-05,2.69E-06,0.146638,5.68E-03,5.07E-02,0.0136791,2.50E-05,1.18E-01
2.55E-05,0.0208642,8.67E-01,7.31E-06,0.727183,0.0254584,0.10027,1.01E-01,0.133331,0.12391,8.00E-05,0.018322
0.130611,0.0340216,0.0887636,6.96E-02,9.93E-06,9.42E-02,5.55E-07,1.07E-01,9.67E-05,1.18E-01,0.0553321,0.217986
6.70E-02,0.0268496,0.146198,3.17E-02,4.46E-02,0.219124,0.0478545,0.0437851,0.0366675,0.130653,1.32E-04,0.0500035
7.57E-02,0.096853,0.10575,0.0713103,0.0454048,0.100421,1.71E-01,8.42E-02,1.22E-05,0.0158443,6.75E-02,0.150305
3.22E-05,0.0885916,4.91E-05,0.0138974,0.253326,0.0621091,4.10E-06,0.0665532,3.18E-05,2.88E-05,0.0684793,5.07E-02
0.0371145,0.206652,2.31E-05,7.51E-06,9.69E-02,6.27E-01,1.01E-05,2.98E-06,2.53E-02,0.133152,1.23E-02,4.85E-02
0.245858,0.0498025,0.161706,0.0349543,0.117525,0.0746905,3.01E-05,1.25E-05,0.0104568,0.138053,3.92E-05,0.02557
0.000105541,0.235755,0.477718,0.039903,0.0263524,6.11E-02,0.0401763,8.15E-02,0.0331564,1.26E-01,0.0264803,8.60E-05
1.25E-02,3.60E-04,0.174848,0.00184965,8.39E-04,0.0485437,0.0133016,5.70E-06,0.140294,2.56E-05,0.109025,1.78E-01
1.83E-02,0.226314,1.44E-05,1.89E-05,0.172149,3.39E-02,3.35E-06,0.100922,0.152665,0.0114783,0.0984327,0.125155
0.526959,0.0675575,0.0549279,3.45E-05,0.0182369,0.50456,0.0570923,0.150548,0.0731803,7.44E-06,1.24E-01,6.36E-06
4.27E-05,1.61E-01,1.17E-01,0.0584369,0.0928846,0.208942,0.178968,4.01E-05,5.25E-02,3.70E-05,1.13E-05,1.89E-02
2.36E-05,0.0411608,9.10E-01,0.0312149,0.0113925,2.42E-05,0.13978,5.96E-03,1.17E-05,0.0845185,0.560453,0.102771
2.41E-02,6.96E-02,2.92E-02,0.797899,1.42E-05,0.142982,2.09E-02,0.038609,0.135383,0.025704,0.166266,0.194314
4.47E-05,2.14E-01,3.91E-05,0.0297795,2.72E-06,1.77E-01,0.0931357,2.02E-01,0.0270685,0.00471084,0.0947737,2.55E-05
4.65E-01,0.0740739,5.80E-05,9.63E-05,1.12E-02,0.0196386,5.77E-06,7.03E-02,0.0933301,9.03E-05,0.00129875,3.84E-02
2.67E-02,2.23E-05,0.217992,1.81E-01,0.08691,7.33E-05,1.12E-01,1.54E-02,0.0799115,0.136309,0.126513,1.84E-05
3.47E-01,1.80E-02,0.073625,0.129583,1.37E-01,0.0341751,1.18E-01,1.87E-05,0.0845691,1.02E-05,1.20E-05,3.46E-05
9.73E-02,0.0512756,0.0192306,0.0317635,0.158125,2.15E-05,1.05E-01,0.0483078,0.0473383,1.65E-05,0.102281,0.0668815
7.98E-03,0.105406,1.47E-05,9.56E-06,5.26E-05,8.98E-02,7.06E-03,0.179167,1.17E-05,6.26E-06,0.129852,0.000114612
2.23E-05,7.96E-05,0.0179585,0.0895968,0.169149,0.144769,0.0199392,0.102435,0.0464131,3.96E-02,0.00521585,0.0865471
0.241197,0.0417817,7.47E-02,0.0233195,0.0519249,1.62E-05,6.11E-06,6.26E-06,4.31E-06,1.76E-01,1.30E-01,0.0659774
1.46E-01,3.37E-06,4.55E-05,0.0859224,3.70E-06,0.0137654,3.72E-05,2.78E-06,1.34E-01,6.29E-06,0.0956493,4.50E-02
3.36E-04,1.42E-01,0.0938658,1.36E-01,1.31E-01,4.86E-02,0.0916239,9.68E-02,2.30E-01,0.0329899,1.20E-05,0.000145838
0.242133,0.0475251,2.27E-05,0.144321,6.60E-06,0.121088,0.00641339,3.94E-02,1.23E-01,9.78E-02,0.0817714,0.0589547
9.03E-02,1.23E-01,0.0944052,0.0904599,0.109917,1.35E-01,1.44E-01,0.123378,1.06E-01,1.13E-06,4.90E-02,5.28E-05
2.15E-05,3.11E-05,0.0264714,1.02E-01,0.0930157,1.32E-03,1.36E-01,0.0378865,8.04E-02,3.90E-02,2.36E-01,0.170197
0.102181,0.0730893,2.45E-02,0.00517768,1.46E-01,4.97E-01,0.033144,1.24E-01,2.36E-02,2.04E-05,0.146616,0.182264
1.81E-01,4.70E-05,9.76E-02,8.34E-05,0.00128625,1.99E-05,1.12E-05,4.40E-06,2.30E-05,2.28E-02,0.0295091,0.119844
0.136437,0.00551083,1.31E-05,3.71E-05,1.47E-05,0.114662,0.0985679,4.00E-03,1.24E-05,3.43E-04,0.0755089,0.105229
0.105838,6.09E-05,1.36E-05,0.0221774,9.42E-02,0.0178045,2.05E-01,0.0461388,0.0724065,3.99E-05,0.0796912,7.20E-06
5.39E-05,2.94E-07,0.126261,0.0206431,0.037374,6.83E-02,1.53E-01,9.60E-02,2.07E-05,7.48E-06,0.123658,2.53E-02
2.95E-02,0.177113,2.36E-05,0.0476666,0.193514,0.160664,0.0413298,0.0468279,0.2066,5.79E-05,0.163498,0.0338569
