January,February,March,April,May,June,July,August,September,October,November,December
0.124913,0.0902811,0.0229291,0.105819,0.0822534,0.145311,0.1755,0.00399684,0.00837438,0.107611,0.000299607,0.102261
0.0094297,0.00217402,0.0236021,0.110723,0.0835539,0.121844,0.0181447,0.416026,0.248156,0.0440199,0.00100796,0.122484
0.0410441,0.0711266,0.0689583,0.0486716,0.134612,0.118605,0.236942,0.0911546,0.0889115,0.0974509,0.00350424,0.0152823
0.0929195,0.58265,0.000875313,0.0953499,0.00501413,0.0022142,0.00191528,0.0989449,0.00212057,0.160914,0.100803,0.000318312
0.044168,0.0324553,0.131616,0.114421,0.00146754,0.0737259,0.00579227,0.0992307,0.0239998,0.0171434,0.00337124,0.0910273
0.0808787,0.113836,1.97E-03,0.168996,0.0151943,0.318975,0.0205833,0.135382,0.063184,0.0190496,0.142837,0.117296
0.0383145,0.0789818,0.000664441,0.0585757,0.00230784,0.211552,0.0913295,0.15064,0.139011,0.153259,0.000321847,0.0142764
0.115942,0.000453154,0.0551036,0.10058,0.0223356,0.0357455,0.0116413,0.245675,0.0413775,0.112191,0.0859576,0.139853
0.00320371,0.119242,0.0132777,0.000589778,0.0527247,0.000477767,0.0260239,0.102766,0.127961,0.0014376,0.0144829,0.11808
0.0204871,0.169096,0.0984763,0.136257,0.0313531,0.0782608,0.0721645,0.0213656,0.252031,0.0486924,0.120656,0.0967284
0.0424853,0.048484,0.0444212,0.000950854,0.129165,0.106044,0.0491459,0.111184,0.198215,0.103469,0.0956751,0.09517
0.0181548,0.921698,0.0102047,0.10215,0.0128769,0.0444326,0.00546068,0.0599808,0.0157886,0.10356,0.499557,0.0507285
0.00547464,0.0302336,0.107167,0.189954,0.102725,0.0182019,0.205342,0.236314,0.25049,0.00293349,0.0835112,0.112065
0.00767426,0.134947,0.0629038,0.0704024,0.00799674,0.0034573,0.0359765,0.172672,0.0698071,0.237338,0.145333,0.108252
0.293782,0.331034,0.148639,0.100878,0.0903319,0.0998343,0.0219423,0.120967,0.243975,0.0808607,0.0121746,0.131572
0.0947107,0.0604211,0.0520377,0.121278,0.574244,0.0699995,0.0934818,0.119546,0.118113,0.280198,0.0242495,0.13632
0.0401865,0.113748,0.0830776,0.0239479,0.190829,0.00396109,0.0124319,0.151906,0.0820144,0.0545623,0.142342,0.119799
0.000476996,0.0757903,0.00235094,0.0762012,0.0178977,0.114578,0.0762165,0.147346,0.0283817,0.0104563,0.783267,0.119479
0.242746,0.249004,0.234941,0.203831,0.191894,0.0909059,0.161101,0.441029,0.00488637,0.16519,0.580397,0.183615
0.07496,0.0730831,0.0272658,0.15337,0.306123,0.0127972,0.120747,0.00119092,0.0509538,0.0956676,0.0180326,0.185639
0.0147949,0.287101,0.0657357,0.159488,0.00435802,0.0497393,0.201585,0.0454421,0.118373,0.0781053,0.0373169,0.000475117
0.0235879,0.0591422,0.083162,0.122103,0.00108887,0.0440939,0.00307715,0.139565,0.0950648,0.128402,0.0903765,0.0311795
0.00149877,0.286303,0.000394617,0.0619121,0.0829011,0.0676951,0.0926351,0.970945,0.0501248,0.370446,0.0694174,0.100565
0.132389,0.0494398,0.134984,0.00129406,0.00508538,0.0208944,0.0189545,0.00143153,0.0563968,0.00308698,0.123285,0.0479618
0.143137,0.226547,0.000914873,0.00177237,0.22225,0.285157,0.103636,0.221482,0.109343,0.101004,0.0719234,0.122394
0.0471174,0.291823,0.954307,0.119989,0.00204895,0.256103,0.00412989,0.0138936,0.00444673,0.00186121,0.105532,0.0529586
0.164785,0.1078,0.106223,0.0603686,0.238971,0.346955,0.048449,0.217212,0.66943,0.0817954,0.0735214,0.164133
0.118603,0.156527,0.05487,0.0379263,0.228267,0.010472,0.121743,0.0258706,0.144339,0.0980767,0.0601288,0.00201311
0.114894,0.000785435,0.82989,0.0126025,0.00387926,0.051758,0.00311636,0.449332,0.140209,0.000747941,0.0633032,0.000548365
0.368659,0.0121958,0.158955,0.147516,0.185893,0.171472,0.0940123,0.0471442,0.147656,0.00281312,0.00073963,0.0214978
0.106373,0.0250017,0.0112476,0.148477,0.0379038,0.109456,0.146677,0.00597351,0.14706,0.00577593,0.00581056,0.000493285
0.000714211,0.00500658,0.00362335,0.222459,0.150169,0.0267557,0.0734546,0.00232217,0.286851,0.158937,0.0923627,0.00560144
0.0704725,0.00130173,0.189354,0.150982,0.0747069,0.134082,0.133991,0.778262,0.219547,0.0841088,0.000326472,0.120805
0.0138347,0.0472751,0.000486091,0.0163416,0.00341016,0.0194206,0.00421393,0.673818,0.265041,0.102486,0.123959,0.157772
0.00236956,0.000516267,0.0822374,0.0284246,0.0866302,0.0933943,0.106223,0.169839,0.0537352,0.214193,0.11299,0.00154666
0.100396,0.138637,0.0645932,0.318516,0.0949865,0.0519611,0.228808,0.0387716,0.00969323,0.0167627,0.0893234,0.000314075
0.142895,0.109789,0.00828842,0.105528,0.148956,0.472105,0.0202779,0.00268656,0.0576137,0.233639,0.0642664,0.142034
0.121791,0.0241335,0.123624,0.62559,0.303811,0.18565,0.11678,0.0715306,0.0488421,0.055212,0.0319485,0.0470194
0.000247406,0.00130361,0.146272,0.0419793,0.172526,0.0179547,0.0993185,0.266664,0.13345,0.00972003,0.000674933,0.0025436
0.0210214,0.0350987,0.0363637,0.0159515,0.0379942,0.0999877,0.0247404,0.00402412,0.108476,0.117689,0.0142452,0.0194775
0.114697,0.00534845,0.401288,0.135007,0.484786,0.235966,1.17454,0.162981,0.258962,0.0031571,0.0387919,0.114221
0.0106951,0.104158,0.133943,0.115336,0.0750602,0.0510672,0.0448898,0.393424,0.0928503,0.223991,0.111137,0.0955043
0.113191,0.223263,0.0159545,0.0658259,0.0418021,0.169336,0.0179387,0.122213,0.12715,0.129952,0.0398953,0.0653254
0.188449,0.0618996,0.043354,0.0164274,0.0559886,0.00204056,0.044921,0.0326311,0.0186124,0.0100419,0.00814739,0.0839928
0.160517,0.789507,0.00145431,0.134603,0.00162517,0.105796,0.036422,0.135179,0.0495608,0.0783827,0.203272,0.049473
0.602644,0.151277,0.0463993,0.121278,0.0310768,0.0208647,0.0287653,0.0539423,0.00414925,0.00161535,0.00271305,0.10738
0.102845,0.0485654,0.00699555,0.00909964,0.0013248,0.220914,0.00377842,0.174143,0.10078,0.00510074,0.000219957,0.0975335
0.142205,0.11977,0.189086,0.148679,0.116311,0.0097104,0.0402069,0.129385,0.00162299,0.0364241,0.111789,0.0473581
0.0232619,0.00224739,0.0122041,0.0165945,0.0887455,0.0237455,0.245997,0.115283,0.00315606,0.148328,0.110256,0.0281173
0.000765951,0.00533134,0.179253,0.00599591,0.41819,0.0960033,0.00272239,0.186216,0.00478254,0.116631,0.0899467,0.0638425
0.00308214,0.069962,0.40388,0.134694,0.0915972,0.0443762,0.0278564,0.194271,0.119051,0.02068,0.000219802,0.127779
0.0114987,0.0010608,0.0794284,0.133626,0.0357696,0.234186,0.228285,0.0254248,0.0114376,0.114194,0.0533525,0.0816269
0.0453805,0.00283242,0.00537023,0.0156547,0.105698,0.000577431,1.2165,0.145051,0.575689,0.554114,0.0091088,0.0477475
0.00423559,0.047681,0.00361331,0.0682511,0.100968,0.0242884,0.018093,0.0995335,0.178271,0.00426265,0.128512,0.0297512
0.0694204,0.0394743,0.121349,0.020256,0.0133012,0.303256,0.0220881,0.0437131,0.0129934,0.108542,0.185639,0.122144
6.93E-02,0.103873,0.104007,0.0106532,0.00101015,0.155215,0.690437,0.109079,0.0375211,0.01366,0.0431574,0.0247404
0.152837,0.214191,0.142596,0.21628,0.0836507,0.853081,0.0673976,0.223765,0.00429102,0.0891843,0.747332,0.0929041
0.0967208,0.0298891,0.0858234,0.00465304,0.0233874,0.00265047,0.10667,0.00174331,0.193459,0.414665,0.000810892,0.12012
0.000717158,0.00221548,0.0535241,0.0429702,0.00448515,0.00151272,0.0450015,0.110692,0.00578763,0.0776379,0.212645,0.00239458
0.000574768,0.972485,0.12647,0.000880663,0.00875551,0.117591,0.110555,0.107582,0.146442,0.132709,0.195928,0.0735933
0.0856574,0.0368985,0.076877,0.024103,0.00497057,0.180064,0.0353241,0.00570256,0.00110473,0.142953,0.18074,0.133013
0.0343693,0.00437531,0.0109776,0.171444,0.00213392,0.14249,0.0581662,0.0128702,0.104479,0.000163659,0.0191622,0.0504984
0.000900508,0.036396,0.0659395,0.0225984,0.0194391,0.0162328,0.16401,0.141005,0.186216,0.130436,0.0381635,0.12031
0.000503896,0.0145193,0.14447,0.205652,0.166329,0.122831,0.130644,0.0814486,0.172361,0.0110044,0.287531,0.119301
0.123139,0.0193749,0.155371,0.224379,0.0281728,0.128047,0.0339296,0.536727,0.10585,0.000607472,0.0350452,0.00312572
0.0335016,0.00529913,0.0393895,0.0215845,0.218668,0.00251982,0.131386,0.00197534,0.156279,0.00926032,0.0201674,0.00093568
0.107953,0.0326297,0.0217349,0.0783809,0.013509,0.0740091,0.0584545,0.0215862,0.114582,0.00336455,0.111255,0.129691
0.0942063,0.0825685,0.0679865,0.0110846,0.180838,0.00558757,0.00674949,0.118767,0.00134917,0.00576509,0.00082768,0.101503
0.0487794,0.0243268,0.00024082,0.0392046,0.202374,0.0702023,0.010531,0.107672,0.0574903,0.0372789,0.00162977,0.000379588
0.105127,0.0380447,0.00106852,0.00257681,0.0722324,0.102487,0.46522,0.118927,0.101114,0.00979803,0.0234005,0.0850474
0.00670711,0.194249,0.00144256,0.317979,0.144369,0.0390404,0.0947702,0.0982163,0.0112143,0.00140257,0.0300258,0.00293828
0.158601,0.109791,0.000569067,0.0411538,0.857931,0.00467694,0.00564165,0.0477247,0.0432109,0.098266,0.0645813,0.00518593
0.0453439,0.159005,0.23457,0.0486238,0.0567095,0.0066224,0.1532,0.001831,0.0582205,0.181977,0.10012,0.111555
0.0456935,0.19528,0.115299,0.284461,0.966306,0.191896,0.646403,0.16556,0.00348497,0.20691,0.14275,0.910668
0.135282,0.0904154,0.102619,0.0696666,0.0476303,0.00146436,0.0515861,0.0653721,0.14749,0.188933,0.0526749,0.000526816
0.115515,0.0303491,0.0739156,0.071955,0.109083,0.188288,0.0691694,0.00298665,0.163619,0.118877,0.230169,0.110289
0.0982077,0.0569913,0.0266972,0.143263,0.00259787,0.163455,0.131262,0.224148,0.363971,0.0639274,0.000541849,0.00587657
0.0485403,0.0490016,0.0445587,0.00930889,0.0519892,0.0346172,0.0307315,0.0139656,0.0772183,0.112879,0.0850692,0.118104
0.0206396,0.0135282,0.0021041,0.141996,0.0961704,0.0569064,0.00310331,0.0233424,0.151563,0.132502,0.0512751,0.233314
0.0679755,0.00059977,0.0190257,0.0228888,0.00187859,0.213998,0.00594258,0.0342066,0.0920461,0.0119339,0.00293207,0.027815
0.0131804,0.0149099,0.0313992,0.0550777,0.0360821,0.183399,0.0962552,0.0128278,0.217676,0.00126103,0.0287941,0.061854
0.184161,0.000602435,0.244774,1.35823,0.0192068,0.212619,0.253455,0.23916,0.12858,0.241103,0.00101432,0.00810906
0.00156779,0.504118,0.0181065,0.191348,0.00316762,0.238991,0.0210914,0.00368624,0.00641315,0.244423,0.0528703,0.117206
0.232396,0.130889,0.00869226,0.0214314,0.155324,0.136604,0.163449,0.0728278,0.0529505,0.00107022,0.000667144,0.0646516
