"","months","month","mean_trp","low_trp","upper_trp"
"1",1,"January",0.0842007641105076,0.0353275903104619,0.200686449726343
"2",2,"February",0.0853123102687286,0.0352655237759447,0.206382594219468
"3",3,"March",0.0837648996955402,0.0352148656722571,0.199249898787252
"4",4,"April",0.0824930600635078,0.0338649674972411,0.200948220582107
"5",5,"May",0.084304878435769,0.0352069317317288,0.201872534142605
"6",6,"June",0.0857644606923977,0.0356884975122473,0.206104017557299
"7",7,"July",0.0839955429825998,0.0347844595148911,0.202827680502595
"8",8,"August",0.0830937458297467,0.0343561572862738,0.200970397780113
"9",9,"September",0.0867372697851912,0.0359609788946108,0.209208820255905
"10",10,"October",0.0848211024454534,0.0352224725447541,0.204262191159935
"11",11,"November",0.0858099981847167,0.0356970375828591,0.206273581424493
"12",12,"December",0.0842080809703082,0.0345976232485005,0.204956301471065
